"","id1","id2","distance"
"1",11,12,0
"2",12,13,2288
"3",13,14,0
"4",14,15,290
"5",15,16,2641
"6",16,17,1
"7",17,18,1880
"8",18,19,491
"9",19,20,1092
"10",20,21,5488
"11",21,22,924
"12",22,23,2775
