"","pair_ids","unique_in_earlier","unique_in_later"
"11","10_11","gladden, plaatselijk, architectuur, vissen, Amerika, achteraan, Kom!, soepel, kopieer","kok, glad, plotseling, Louis, CK, cancel-cultuur, tijdgeest, invloed, waardesysteem, naiefs, Nederlands, opsluiten, help, rijp, fruit, gevoel, laagj, alsof, luchtdicht, verpakking, gewoon, slecht, communiceert, keuken, binnen, gezellig, drinken, vandaag, onderzoeksonderwerp, werk, redding, vast, angst, armoede, terugkeer, vandaan, kettingroken, stiefvader, voortdurend, porno, thuiskomen, rinkelen, sleutel, lawaai, kans, snel, computer, zetten, slaapkamer, rennen, shit, horen, gestommellen, onderbroek, enkel, moederschap, storten, hoeven, verwoesten, huwelijk, Verwoestend, kwijt, gelukkig, ontmoeting, zwanger, beetje, bedoelen, boekwinkel, bijzonder, uitgeven, poeziebundel, brief, schrijven, leegstaan, pand, kunstfees, organiseren, zonder, strakk, spijkerbroek, dichtrit, vergeten, begeren, verliefd, spannenen, springerig, pornografisch, moment, broek, halen, echt, neuk, nee, jaloers, androgynie, tiener, twintiger, kleden, onderscheid, man-vrouw, achterhalen, nieuw, liefde, exploreren, puur, geestelijk, vriendschappelijk, ingewikkellen, rilling, behoefte, vrijheid, verliefdheid, nodig, verdienen, maanden, Verenigde, Staten, eeen, huis, ontmoeten, genieten, dagelijks, rituel, bord, pap, ontbijt, versleten, ochtendjas, prettig, samen, Japan, dorp, aankomen, zalm, dreigend, vol, boodschappentas, bezig, Instagram-post, varken, baan, slachthuis, zeventien, daardoor, minder, vlee, geleden, vegetarier, Kwaai, pier, rem, behalve, spijt, erna, trouwens, eerder, onbegrip, tekren, waarover, gevaarlijk, bron, v, an, rechts-extremistisch, denkbeeld"
"12","11_12","",""
"13","12_13","zonnend, doorstaan, kanker, graad, lol, ontdooide, glad, liegen, brullen, totslaafgemaakt, meepraten, dommer, opsluiten, lijken, eeen, huis","zwetende, bewegingloos, minuut, aftellen, wit, bruin, inmiddels, gladden, interpreteren, flauwvallen, ergens, slaaf, maakten, dociel, steen, bui, treurig, ..., schoonheidsideaal, wijzen, jezelf, Strijven, tienermeisje, tienerjong, stiekem, besluiten, stijlvol, gedacht, bovendien, eigen, invullen, vullen, ruzie, theorie, verlangen, moeilijk, leggen, Andrea, Long, chu, ...., fictief, figuur, sinds, blutten, 1, appartement, deel, woonkamer, bank, tv., achterhoofd, raam, ...boom, spellen, asblond, verven, nek, tenger, keukenschort, verschil, lelijk, onrecht, verlies, seks, alsjeblieft, Jaloezie, kapitalisme, werken, dooft, kopieer"
"14","13_14","",""
"15","14_15","","I, dont, think, belief, things, becaus, they, aar, true, believen, them, make, us, feel, particular, way, bil, voeden, zelfhaat, hoewel, mannelijk, lesbienne, ineens, aantrekkelijk"
"16","15_16","inmiddels, licht, ...boom, spellen, Instagram-post, kopieer","half, schrikken, pijnboom, voortuin, kop, koffie, nieuwsuitzending, bosbrande, regio, talkshow, bruinverbrand, tand, activistisch, Instagram-story, screenshots, column, schrijver, campagne, EU, lanceren, Zuid-Europees, ertoe, bewegen, varkensvlees, Letstalkaboutpork, hashtag, eetlust, opwekken, iedereen, post, misdadig, mishandeling, varkenshouderij, Varkens, schuren, onophoudelijk, langs, stang, kooi, wanhopige, poging, contact, roos, marmer, badkamer, foto, achtergrond, dienen, tekst, letters, leesbaar, zodra, story, Godverdom, tikken, scherm, toestel, eindj, gras, smijten, Flikker, flik, context, kwetsen, opstaan, kalmeren, vader, aluminiumfolie, houder, rukken, ding, stampen, den, duur, wenen, wennen, hypocriet, weigeren, uitbarsting, dus, ophouden, schouder, stoppen, nietSoms, daaraan, krimpen, ineen, lijken, wurgen, handen, huis, straks"
"17","16_17","",""
"18","17_18","daarna, achterkant, zwemen, vanuit, blij, schrikken, soort, situaties, zomers, bruinverbrand, nietSoms, straks","voorbij, zwemmen, please, enthousiast, aanspreken, inmiddels, bevrijden, 'zomer, aantal, bruinverbrande, tien, overmorgen, vertrekken, varkens, afmeken, neiging, buitenland, logeren, verblijf, zonde, vliegticket, besteden, kopieer"
"19","18_19","please, dociel, interesseren, uitwisselen, droog, feit, buurmeisje, tienermeisje, tienerjong, 'zomer","Pleaas, buurjong, tegenspreken, rarely, the, shoullen, bepalen, forceren, could, sooner, give, a, cat, bath, .', zomers, 's"
"20","19_20","tegenspreken, kopieer, 's","tienerjong, kant, trainen, simpelweg, presenteren, beeld, schoonheidsnorm, glamourfoto, beharen, kenmerk, westerse, heersen, vrouwelijk, volg, interessant, norm, verleggen, sterken, behaard, kleuter, braaf, klas, theoreticus, butchvrouw, droom, ....., tellen, verwringen, vertaling, letterlijk"
